;a_feat_desc;b_feat_extr_time;c_cl_desc;d_cl_res;e_cl_time;f_cl_score
0;Caltech-RGB-Bins_25-MaxCI_2-Norm_Distr;16.9451460838;Classif_RF-CV_10-Trees_175;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";97.4508938789;0.133971291866
1;Caltech-RGB-Bins_25-MaxCI_59-Norm_Distr;17.1744060516;Classif_RF-CV_10-Trees_125;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";640.134902;0.247436773753
2;Caltech-RGB-Bins_25-MaxCI_115-Norm_Distr;25.1456868649;Classif_RF-CV_10-Trees_175;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";693.309768915;0.266028708134
3;Caltech-RGB-Bins_25-MaxCI_172-Norm_Distr;16.7187430859;Classif_RF-CV_10-Trees_175;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";696.750547886;0.283526999316
4;Caltech-RGB-Bins_25-MaxCI_229-Norm_Distr;18.2653000355;Classif_RF-CV_10-Trees_175;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";584.411394835;0.30977443609
5;Caltech-RGB-Bins_25-MaxCI_285-Norm_Distr;22.0008420944;Classif_RF-CV_10-Trees_125;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";504.343792915;0.357484620643
6;Caltech-RGB-Bins_25-MaxCI_342-Norm_Distr;16.9401028156;Classif_RF-CV_10-Trees_175;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";406.907011032;0.352836637047
7;Caltech-RGB-Bins_25-MaxCI_399-Norm_Distr;17.2898378372;Classif_RF-CV_10-Trees_125;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";361.317315102;0.33984962406
8;Caltech-RGB-Bins_25-MaxCI_455-Norm_Distr;16.9123439789;Classif_RF-CV_10-Trees_125;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";334.067783117;0.351742993848
9;Caltech-RGB-Bins_25-MaxCI_512-Norm_Distr;16.7652480602;Classif_RF-CV_10-Trees_175;"GridSearchCV(cv=10, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'classifier__n_estimators': [25, 75, 125, 175]},
       pre_dispatch='2*n_jobs', refit=True, scoring='accuracy', verbose=0)";278.192038059;0.347095010253
